POUVOIR EXECUTIF,EXECUTIVE POWER,Division/Office,Category,Governing Body,Government Function,Credit,Salaries,Functionment,Public Investment,Total,% of credits,,"112,895,190,744.66","$959,609,121.33 "
SECTEUR ECONOMIQUE, ECONOMIC SECTOR ,All,Economic Sector,Cabinet / Sector,Executive Power,"24,123.46","7,224.38","3,191.30","1,111.81","11,527.49",47.79%,,"11,527,492,158.47","$97,983,683.35 "
MINISTERE DE LA PLANIFICATION ET DE LA COOPERATION EXTERNE, Ministry of planning and external cooperation ,Planning and External Cooperation,Economic Sector,Cabinet / Sector,Executive Power,"3,402.83",523.99,600.44,980.23,"2,104.65",61.85%,,"2,104,649,977.43","$17,889,524.81 "
MINISTERE DE L'ÉCONOMIE ET DES FINANCES, Ministry of Economy and Finance ,Economy and Finance,Economic Sector,Cabinet / Sector,Executive Power,"7,948.76","3,346.86","1,489.14",114.09,"4,950.09",62.28%,,"4,950,090,313.89","$42,075,767.67 "
MINISTERE DE L'AGRICULTURE DES RESSOURCES NATURELLES & DU DEVELOPPEMENT RURAL., Ministry of Natural Resources Agriculture & Rural Development. ,Natural Resources Agriculture & Rural Development,Economic Sector,Cabinet / Sector,Executive Power,"2,554.50",894.42,433.47,6.38,"1,334.28",52.23%,,"1,334,275,594.43","$11,341,342.55 "
"MINISTERE DES TRAVAUX PUBLICS, TRANSPORT & COMMUNICATION"," Ministry of Public Works, Transport & Communication ","Public Works, Transport & Communication",Economic Sector,Cabinet / Sector,Executive Power,"7,154.98",972.81,136.46,2.19,"1,111.46",15.53%,,"1,111,461,066.25","$9,447,419.06 "
MINISTERE DU COMMERCE ET DE L'INDUSTRIE, Ministry of Commerce and Industry ,Commerce and Industry,Economic Sector,Cabinet / Sector,Executive Power,"1,025.93",460.35,163.55,3.09,627,61.12%,,"626,999,157.02","$5,329,492.83 "
MINISTERE DE L'ENVIRONNEMENT, MINISTRY OF THE ENVIRONMENT ,Environment,Economic Sector,Cabinet / Sector,Executive Power,"1,767.56",884.57,340.96,4.58,"1,230.12",69.59%,,"1,230,115,685.83","$10,455,983.33 "
MINISTERE DU TOURISME, MINISTRY OF TOURISM ,Tourism,Economic Sector,Cabinet / Sector,Executive Power,268.89,141.38,27.27,1.24,169.9,63.18%,,"169,900,363.62","$1,444,153.09 "
SECTEUR POLITIQUE, Political sector ,All,Political Sector,Cabinet / Sector,Executive Power,"33,345.83","14,030.37","8,070.08",615.06,"22,715.51",68.12%,,"22,715,509,241.94","$193,081,828.56 "
MINISTERE DE LA JUSTICE ET SECURITE PUBLIQUE, Ministry of justice and public security ,Justice and Public Security,Political Sector,Cabinet / Sector,Executive Power,"19,671.69","10,040.44","2,279.19",10.13,"12,329.77",62.68%,,"12,329,773,128.39","$104,803,071.59 "
